,model,price,mileage,cylinder,daysOnMarket,city,dealer,year,trim,driveline,transmission
2970,toyota_tundra,48116,5.0,6.0,28,Arlington,Vandergriff Toyota,2025,SR5,RWD,automatic
2971,toyota_tundra,52069,,6.0,3,Arlington,Vandergriff Toyota,2025,SR5,4X4,automatic
2972,toyota_tundra,53146,1515.0,6.0,84,Arlington,Vandergriff Toyota,2025,SR5,4X4,automatic
2973,toyota_corolla,20829,31573.0,4.0,14,Arlington,Vandergriff Toyota,2023,LE,FWD,automatic
2974,toyota_rav4,38466,5.0,4.0,62,Arlington,Vandergriff Toyota,2024,XLE Premium,FWD,automatic
2975,toyota_tacoma,37068,20785.0,6.0,15,Arlington,Vandergriff Toyota,2022,SR5 V6,RWD,automatic
2976,toyota_tacoma,42988,5.0,4.0,49,Arlington,Vandergriff Toyota,2024,TRD Sport,RWD,automatic
2977,toyota_tundra,51288,5.0,6.0,161,Arlington,Vandergriff Toyota,2024,SR5,4X4,automatic
2978,toyota_tacoma,35370,17946.0,6.0,13,Arlington,Vandergriff Toyota,2023,SR V6,RWD,automatic
2979,toyota_camry,17648,61509.0,4.0,22,Arlington,Vandergriff Toyota,2016,LE,FWD,automatic
2980,toyota_prius,12500,90280.0,4.0,1,Phoenix,Camelback Toyota,2012,Three,FWD,automatic
2981,toyota_fj cruiser,29368,115296.0,6.0,10,Phoenix,Camelback Toyota,2013,Base,4X4,automatic
2982,toyota_rav4,31714,10.0,4.0,10,Phoenix,Camelback Toyota,2025,XLE,FWD,automatic
2983,toyota_tacoma,50354,14.0,4.0,36,Phoenix,Camelback Toyota,2024,TRD Off-Road,4X4,automatic
2984,toyota_tacoma,49996,14.0,4.0,36,Phoenix,Camelback Toyota,2024,TRD Sport,4X4,automatic
2985,toyota_land cruiser,57278,14.0,4.0,10,Phoenix,Camelback Toyota,2025,1958,4X4,
2986,toyota_rav4 hybrid,36308,10.0,4.0,10,Phoenix,Camelback Toyota,2025,SE,AWD,
2987,toyota_tacoma,34935,15333.0,6.0,6,Dallas,Toyota of Dallas,2023,SR5 V6,RWD,automatic
2988,toyota_corolla cross,23056,36903.0,4.0,6,Dallas,Toyota of Dallas,2023,LE,FWD,automatic
2989,toyota_corolla cross,29715,3862.0,4.0,6,Dallas,Toyota of Dallas,2023,XLE,FWD,automatic
2990,toyota_rav4,22855,52692.0,4.0,6,Richardson,Toyota of Richardson,2020,LE,FWD,automatic
2991,toyota_tacoma,37855,26157.0,6.0,6,Richardson,Toyota of Richardson,2023,TRD Off-Road,4X4,automatic
2992,toyota_camry,43702,7.0,4.0,29,Dallas,Toyota of Dallas,2025,XSE,FWD,automatic
2993,toyota_grand highlander,49998,19242.0,4.0,24,Richardson,Toyota of Richardson,2024,Limited,FWD,automatic
2994,toyota_grand highlander,56200,5.0,4.0,8,Dallas,Toyota of Dallas,2024,Limited,FWD,automatic
2995,toyota_highlander,37997,25640.0,4.0,40,Dallas,Toyota of Dallas,2024,LE,AWD,automatic
2996,toyota_tacoma,30685,35768.0,6.0,6,Richardson,Toyota of Richardson,2017,TRD Off-Road,RWD,automatic
2997,toyota_gr86,36585,4495.0,4.0,6,Richardson,Toyota of Richardson,2024,Trueno Edition,RWD,manual
2998,toyota_prius prime,20998,56865.0,4.0,6,Richardson,Toyota of Richardson,2018,Premium,FWD,automatic
2999,toyota_4_runner,47855,54155.0,6.0,6,Richardson,Toyota of Richardson,2020,TRD Pro,4X4,automatic
3000,toyota_rav4 hybrid,32781,38897.0,4.0,22,Surprise,Surprise Ford,2022,XLE Premium,AWD,automatic
3001,toyota_corolla,13987,91942.0,4.0,6,Kansas City,Van Subaru MO,2014,LE,FWD,automatic
3002,toyota_tundra,32644,67169.0,8.0,7,Grapevine,Grapevine Ford,2016,SR5,4X4,automatic
3003,toyota_corolla,14321,106367.0,4.0,3,Houston,Joe Myers Ford,2018,LE,FWD,automatic
3004,toyota_tacoma,42990,5.0,4.0,70,Decatur,Crown Toyota,2024,SR5,4X4,automatic
3005,toyota_rav4,43345,7.0,4.0,3,Decatur,Crown Toyota,2025,Limited,AWD,automatic
3006,toyota_tacoma,46774,10.0,4.0,78,Decatur,Crown Toyota,2024,SR5,4X4,automatic
3007,toyota_tacoma,48950,5.0,4.0,7,Decatur,Crown Toyota,2024,TRD Sport,4X4,automatic
3008,toyota_corolla,17396,75189.0,4.0,8,Evansville,Kenny Kent Chevrolet,2021,LE,FWD,automatic
3009,toyota_4_runner,33866,42538.0,,24,Austin,Capital Chevrolet,2019,SR5,4X4,automatic
3010,toyota_tacoma,36874,8.0,4.0,6,Decatur,Crown Toyota,2024,SR,RWD,automatic
3011,toyota_camry,36988,,4.0,69,Scottsdale,Fiat of Scottsdale,2025,XLE,FWD,automatic
3012,toyota_rav4,29858,,4.0,13,Phoenix,Camelback Toyota,2025,LE,FWD,automatic
3013,toyota_rav4,29858,10.0,4.0,9,Phoenix,Camelback Toyota,2025,LE,FWD,automatic
3014,toyota_tacoma,46882,14.0,4.0,44,Phoenix,Camelback Toyota,2024,TRD Sport,RWD,automatic
3015,toyota_tacoma,52996,14.0,4.0,44,Phoenix,Camelback Toyota,2024,TRD Off-Road,4X4,automatic
3016,toyota_tacoma,47253,14.0,4.0,51,Phoenix,Camelback Toyota,2024,TRD Sport,RWD,automatic
3017,toyota_camry,23304,56997.0,4.0,13,Phoenix,Camelback Toyota,2023,LE,FWD,automatic
3018,toyota_camry,23835,44957.0,4.0,9,Phoenix,Camelback Toyota,2023,LE,FWD,automatic
3019,toyota_camry,31338,14.0,4.0,16,Phoenix,Camelback Toyota,2025,SE,FWD,automatic
3020,toyota_prius,36707,7.0,4.0,22,Dallas,Toyota of Dallas,2024,XLE,FWD,automatic
3021,toyota_corolla hybrid,22988,35507.0,4.0,59,Richardson,Toyota of Richardson,2024,SE,FWD,automatic
3022,toyota_rav4 hybrid,36125,1.0,4.0,1,Richardson,Toyota of Richardson,2025,SE,AWD,automatic
3023,toyota_gr corolla,36941,5245.0,3.0,38,Richardson,Toyota of Richardson,2023,Core,AWD,manual
3024,toyota_camry,32143,2.0,4.0,3,Richardson,Toyota of Richardson,2025,SE,FWD,automatic
3025,toyota_camry,43934,3.0,4.0,34,Richardson,Toyota of Richardson,2025,XLE,AWD,automatic
3026,toyota_highlander,28322,54955.0,6.0,30,Richardson,Toyota of Richardson,2021,XLE,FWD,automatic
3027,toyota_highlander hybrid,48988,28238.0,4.0,27,Richardson,Toyota of Richardson,2023,XLE,AWD,automatic
3028,toyota_tundra,56488,6.0,6.0,91,Richardson,Toyota of Richardson,2025,SR5,4X4,automatic
3029,toyota_tundra,77909,,6.0,316,Dallas,Toyota of Dallas,2024,TRD Pro HV,4X4,automatic
3030,toyota_corolla,19926,54709.0,4.0,2,Dallas,Toyota of Dallas,2022,LE,FWD,automatic
3031,toyota_corolla,27056,2.0,4.0,3,Richardson,Toyota of Richardson,2025,SE,FWD,automatic
3032,toyota_corolla cross,21998,50470.0,4.0,30,Richardson,Toyota of Richardson,2022,LE,FWD,automatic
3033,toyota_crown,36988,8598.0,4.0,27,Richardson,Toyota of Richardson,2023,Limited,AWD,automatic
3034,toyota_rav4 hybrid,43366,2.0,4.0,6,Richardson,Toyota of Richardson,2024,XSE,AWD,automatic
3035,toyota_camry,25807,22530.0,4.0,0,Dallas,Toyota of Dallas,2024,LE,FWD,automatic
3036,toyota_corolla,21926,21039.0,4.0,0,Dallas,Toyota of Dallas,2024,LE,FWD,automatic
3037,toyota_rav4,36156,,4.0,290,Dallas,Toyota of Dallas,2024,XLE Premium,FWD,automatic
3038,toyota_rav4,26749,58260.0,4.0,2,Dallas,Toyota of Dallas,2020,XLE Premium,FWD,automatic
3039,toyota_rav4,29380,23949.0,4.0,38,Dallas,Toyota of Dallas,2024,LE,AWD,automatic
3040,toyota_tacoma,45228,5.0,4.0,101,Arlington,Vandergriff Toyota,2024,TRD Off-Road,4X4,automatic
3041,toyota_camry,39925,5777.0,6.0,8,Arlington,Vandergriff Toyota,2024,XSE V6,FWD,automatic
3042,toyota_tundra,31300,96861.0,8.0,15,Mesquite,Town East Ford,2020,SR5,4X4,automatic
3043,toyota_tundra,59614,5.0,6.0,76,Arlington,Vandergriff Toyota,2025,Limited,4X4,automatic
3044,toyota_avalon,35897,40220.0,6.0,0,Arlington,Vandergriff Toyota,2022,Limited,FWD,automatic
3045,toyota_grand highlander,53557,14004.0,4.0,0,Arlington,Vandergriff Toyota,2024,XLE,FWD,automatic
3046,toyota_4_runner,45889,37432.0,6.0,0,Arlington,Vandergriff Toyota,2021,Venture Edition,4X4,automatic
3047,toyota_camry,42338,5.0,4.0,1,Arlington,Vandergriff Toyota,2025,XSE,FWD,automatic
3048,toyota_camry,27554,68323.0,4.0,6,Arlington,Vandergriff Toyota,2022,SE,FWD,automatic
3049,toyota_grand highlander,56884,15867.0,4.0,59,Arlington,Vandergriff Toyota,2024,Limited,AWD,automatic
3050,toyota_highlander,40897,17309.0,4.0,6,Arlington,Vandergriff Toyota,2024,LE,AWD,automatic
3051,toyota_tacoma,38554,43663.0,6.0,6,Arlington,Vandergriff Toyota,2021,TRD Off-Road,4X4,automatic
3052,toyota_tundra,56230,5.0,6.0,7,Arlington,Vandergriff Toyota,2025,Limited,4X4,automatic
3053,toyota_tundra hybrid,78578,5.0,6.0,6,Arlington,Vandergriff Toyota,2025,Platinum,4X4,automatic
3054,toyota_corolla hybrid,23897,29956.0,,6,Arlington,Vandergriff Toyota,2023,LE,FWD,automatic
3055,toyota_venza,34554,27338.0,4.0,6,Arlington,Vandergriff Toyota,2023,LE,AWD,automatic
3056,toyota_land cruiser,57889,5.0,4.0,1,Arlington,Vandergriff Toyota,2025,1958,4X4,automatic
3057,toyota_land cruiser,57968,5.0,4.0,7,Arlington,Vandergriff Toyota,2025,1958,4X4,automatic
3058,toyota_highlander hybrid,35946,71389.0,4.0,10,Carrollton,Van Hyundai,2021,Platinum,FWD,automatic
3059,toyota_rav4,22855,52692.0,4.0,6,Richardson,Toyota of Richardson,2020,LE,FWD,automatic
3060,toyota_rav4,33664,5.0,4.0,378,Omaha,Village Pointe Toyota,2024,XLE,AWD,automatic
3061,toyota_tacoma,29590,99631.0,6.0,19,Springfield,Reliable Lexus,2018,TRD Sport,4X4,automatic
3062,toyota_camry,34924,,4.0,71,Omaha,Village Pointe Toyota,2025,SE,AWD,automatic
3063,toyota_highlander hybrid,50881,,4.0,119,Omaha,Village Pointe Toyota,2024,XLE Nightshade,AWD,automatic
3064,toyota_sienna,55334,,4.0,288,Omaha,Village Pointe Toyota,2024,Limited 7-Passenger,AWD,automatic
3065,toyota_corolla hatchback,22485,9145.0,4.0,19,Springfield,Reliable Lexus,2022,SE,FWD,automatic
3066,toyota_tacoma,33453,37589.0,6.0,42,Colma,Serramonte Ford,2023,SR V6,4X4,automatic
3067,toyota_prius,17897,69325.0,4.0,14,Santa Clara,Frontier Ford,2017,Two,FWD,automatic
3068,toyota_tacoma,50874,5.0,4.0,14,Decatur,Crown Toyota,2024,TRD Off-Road,4X4,automatic
3069,toyota_tundra,54262,5.0,6.0,14,Decatur,Crown Toyota,2025,SR5,4X4,automatic
3070,toyota_tundra,58148,5.0,6.0,27,Decatur,Crown Toyota,2025,SR5,4X4,automatic
3071,toyota_crown signia,46215,5.0,4.0,72,Decatur,Crown Toyota,2025,XLE,AWD,automatic
3072,toyota_tacoma,42990,5.0,4.0,70,Decatur,Crown Toyota,2024,SR5,4X4,automatic
3073,toyota_rav4,20695,89638.0,4.0,17,Arlington,Vandergriff Honda,2019,LE,FWD,automatic
3074,toyota_camry,26569,39321.0,4.0,3,Arlington,Vandergriff Honda,2024,SE,FWD,automatic
3075,toyota_highlander,36982,24844.0,4.0,38,Arlington,Vandergriff Honda,2024,LE,FWD,automatic
3076,toyota_rav4,35980,7256.0,4.0,5,Arlington,Vandergriff Honda,2024,XLE Premium,FWD,automatic
3077,toyota_tacoma,34901,19961.0,4.0,11,Grapevine,Texas Toyota of Grapevine,2024,TRD Sport,RWD,automatic
3078,toyota_grand highlander,58886,,4.0,49,Grapevine,Texas Toyota of Grapevine,2024,Platinum,AWD,automatic
3079,toyota_highlander,33901,15257.0,4.0,10,Grapevine,Texas Toyota of Grapevine,2023,LE,AWD,automatic
3080,toyota_camry,17593,57044.0,4.0,38,Peoria,Acura Of Peoria,2021,LE,FWD,automatic
3081,toyota_rav4,25488,23598.0,2.0,32,Orlando,Orlando VW South,2021,XLE,FWD,automatic
3082,toyota_rav4 hybrid,26788,55461.0,4.0,51,Orlando,Orlando VW South,2022,XLE,AWD,automatic
3083,toyota_camry,18430,60961.0,4.0,15,Deerfield Beach,Toyota of Deerfield Beach,2018,XLE,FWD,automatic
3084,toyota_camry,41197,2.0,4.0,7,Deerfield Beach,Toyota of Deerfield Beach,2025,XLE,FWD,automatic
3085,toyota_camry,31835,2.0,4.0,7,Deerfield Beach,Toyota of Deerfield Beach,2025,SE,FWD,automatic
3086,toyota_camry,30924,,4.0,1,Sanford,Seminole Toyota,2025,LE,FWD,automatic
3087,toyota_rav4 hybrid,37088,1.0,4.0,7,Deerfield Beach,Toyota of Deerfield Beach,2025,SE,AWD,automatic
3088,toyota_tundra,60776,2.0,6.0,23,Deerfield Beach,Toyota of Deerfield Beach,2025,Limited,4X4,automatic
3089,toyota_corolla,24009,2.0,4.0,23,Deerfield Beach,Toyota of Deerfield Beach,2025,LE,FWD,automatic
3090,toyota_corolla,24939,2.0,4.0,7,Deerfield Beach,Toyota of Deerfield Beach,2025,LE,FWD,automatic
3091,toyota_corolla,24939,2.0,4.0,7,Deerfield Beach,Toyota of Deerfield Beach,2025,LE,FWD,automatic
3092,toyota_corolla cross,27889,2.0,4.0,7,Deerfield Beach,Toyota of Deerfield Beach,2024,LE,FWD,automatic
3093,toyota_land cruiser,60397,2.0,4.0,23,Deerfield Beach,Toyota of Deerfield Beach,2025,1958,4X4,automatic
3094,toyota_b_z4_x,45639,2.0,,74,Deerfield Beach,Toyota of Deerfield Beach,2024,XLE,FWD,automatic
3095,toyota_b_z4_x,50710,5.0,,7,Deerfield Beach,Toyota of Deerfield Beach,2024,Limited,AWD,automatic
3096,toyota_rav4,36587,2.0,4.0,16,Deerfield Beach,Toyota of Deerfield Beach,2025,XLE Premium,FWD,automatic
3097,toyota_rav4,24995,41636.0,4.0,12,Deerfield Beach,Toyota of Deerfield Beach,2021,XLE,FWD,automatic
3098,toyota_tacoma,41972,3.0,4.0,135,Deerfield Beach,Toyota of Deerfield Beach,2024,SR5,4X4,automatic
3099,toyota_tacoma,42591,3.0,4.0,49,Deerfield Beach,Toyota of Deerfield Beach,2024,SR5,4X4,automatic
3100,toyota_grand highlander,60270,,4.0,45,Houston,Joe Myers Toyota,2024,Limited,AWD,automatic
3101,toyota_corolla,26495,1225.0,4.0,51,Houston,Joe Myers Toyota,2025,SE,FWD,automatic
3102,toyota_rav4,29749,18814.0,4.0,35,Dallas,Toyota of Dallas,2024,LE,AWD,automatic
3103,toyota_rav4,28734,58320.0,4.0,35,Dallas,Toyota of Dallas,2020,Limited,FWD,automatic
3104,toyota_tacoma,31988,35477.0,6.0,45,Richardson,Toyota of Richardson,2021,SR5 V6,4X4,automatic
3105,toyota_tacoma,54205,6.0,4.0,2,Dallas,Toyota of Dallas,2024,TRD Off-Road,4X4,automatic
